Reading Date, 1 am kWh Consumption, 2 am kWh Consumption, 3 am kWh Consumption, 4 am kWh Consumption, 5 am kWh Consumption, 6 am kWh Consumption, 7 am kWh Consumption, 8 am kWh Consumption, 9 am kWh Consumption, 10 am kWh Consumption, 11 am kWh Consumption, 12 pm kWh Consumption, 1 pm kWh Consumption, 2 pm kWh Consumption, 3 pm kWh Consumption, 4 pm kWh Consumption, 5 pm kWh Consumption, 6 pm kWh Consumption, 7 pm kWh Consumption, 8 pm kWh Consumption, 9 pm kWh Consumption, 10 pm kWh Consumption, 11 pm kWh Consumption, 12 am kWh Consumption, Total On-Peak kWh Consumption, Total Mid-Peak kWh Consumption, * Total Off-Peak kWh Consumption
7/5/2020,1.611,1.388,0.459,1.745,0.445,0.438,0.432,0.444,0.598,1.056,1.005,0.893,0.831,2.9,1.291,0.584,0.745,3.358,4.119,4.044,3.924,3.982,1.272,2.92,0,0,40.484
7/6/2020,2.882,0.47,0.447,0.465,0.462,0.449,0.425,0.436,0.732,3.34,3.48,1.214,1.163,3.856,3.678,3.593,2.424,0.604,1.852,3.867,3.794,4.259,4.167,1.768,15.928,10.444,23.455
7/7/2020,1.011,0.66,0.498,0.484,0.479,0.469,0.458,0.462,0.627,3.01,1.362,2.175,3.566,3.576,3.582,2.079,3.653,1.304,2.587,3.896,3.82,3.815,3.817,3.291,18.631,9.352,22.698
7/8/2020,1.304,1.437,1.839,0.849,1.206,1.327,0.726,0.688,0.664,1.536,3.479,1.699,3.677,2.805,0.701,0.641,2.75,3.887,3.853,2.043,3.947,4.374,4.303,3.85,12.273,14.107,27.205
7/9/2020,3.519,2.614,2.088,1.101,1.245,1.593,1.974,0.485,0.748,0.751,1.813,3.595,4.039,3.756,3.478,0.691,2.616,3.734,3.704,3.929,3.225,4.352,4.211,3.788,18.175,11.235,33.639
7/10/2020,1.52,2.117,0.825,1.49,1.602,1.263,1.14,0.471,0.812,2.72,0.416,0.929,0.418,0.396,0.667,3.185,3.445,3.625,3.655,4.56,3.914,4.447,4.352,3.614,9.04,11.699,30.844
7/11/2020,3.569,0.912,3.152,0.786,1.677,3.122,1.453,0.418,0.412,0.458,0.685,0.907,1.063,1.366,2.129,1.35,0.628,0.829,0.753,2.046,1.384,1.197,1.08,1.223,0,0,32.599
7/12/2020,0.782,0.623,0.387,0.513,0.381,0.375,0.367,0.37,0.385,0.816,0.572,0.809,0.956,0.865,0.698,0.664,0.99,0.726,0.609,0.613,0.614,0.683,0.683,0.976,0,0,15.457
7/13/2020,3.524,0.658,0.442,0.436,0.44,0.423,0.42,0.434,0.435,0.751,1.144,1.051,0.995,0.724,0.709,0.627,0.813,1.017,1.372,1.066,0.919,0.888,0.968,0.959,4.919,5.153,11.143
7/14/2020,1.028,0.672,0.661,0.657,0.65,0.64,0.634,0.647,0.85,0.736,1.084,0.658,0.939,0.849,0.785,0.709,0.854,0.862,1.327,1.469,1.281,1.151,0.886,1.499,4.794,5.506,11.228
7/15/2020,0.941,0.72,0.508,0.473,0.451,0.449,0.433,0.447,0.643,2.596,3.382,2.58,0.956,2.593,3.557,2.951,1.091,3.827,3.872,3.709,3.659,2.538,2.216,1.856,13.728,14.767,17.953
7/16/2020,0.773,0.572,0.436,1.155,1.483,0.427,0.888,0.434,0.438,0.746,0.866,0.616,1.008,2.976,0.726,0.831,2.569,3.512,2.302,0.995,1.098,3.866,2.211,1.086,8.726,8.298,14.99
7/17/2020,2.912,0.777,0.44,0.431,0.43,0.417,0.419,0.417,0.598,0.512,3.549,3.398,3.292,3.733,1.885,0.615,2.203,3.638,1.766,1.179,3.878,3.331,0.916,1.849,15.126,10.48,16.979
7/18/2020,3.453,1.798,1.746,0.869,0.45,1.11,1.078,0.547,0.753,0.548,0.553,0.587,0.874,3.125,3.683,3.719,3.872,3.775,3.801,2.78,4.012,3.915,3.47,3.014,0,0,53.532
7/19/2020,1.871,3.357,1.619,0.544,0.451,1.441,0.772,0.432,0.436,0.714,0.555,0.32206,0,0.68479,0.48615,0.527,3.381,3.678,4.045,3.878,4.206,2.378,3.202,1.688,0,0,40.668
7/20/2020,1.23,0.378,0.352,1.645,0.593,0.323,1.445,0.343,0.463,0.582,0.407,2.297,3.512,3.372,2.139,0.482,0.46,2.071,3.387,3.296,0.738,3.367,0.943,0.779,12.262,7.253,15.089
7/21/2020,0.56,0.315,0.269,0.295,0.292,0.288,0.262,0.271,0.434,0.544,0.56,0.611,1.031,0.659,0.569,0.653,0.779,0.791,0.666,0.563,0.806,0.953,0.92,0.766,4.302,3.266,6.289
7/22/2020,0.59,0.393,0.385,0.4,0.403,0.4,0.349,0.493,0.355,0.629,0.495,0.657,0.972,0.61,0.557,0.683,1.203,3.517,3.501,3.614,2.168,1.774,1.118,2.889,4.682,8.99,14.483
7/23/2020,0.577,0.405,0.345,0.344,0.342,0.336,0.329,0.314,0.325,1.136,2.183,0.839,1.028,0.84,0.542,0.686,1.795,3.796,3.843,3.762,1.38,1.051,1.43,0.886,5.73,11.597,11.187
7/24/2020,0.753,0.459,0.425,0.358,0.36,0.379,0.359,0.338,0.377,0.794,0.545,0.448,0.965,0.554,0.477,0.529,0.485,0.389,0.655,0.703,0.892,3.32,3.563,3.577,3.458,3.098,15.148
7/25/2020,3.367,0.589,1.101,1.597,0.402,0.379,0.35,0.345,0.494,0.627,0.616,1.581,3.431,1.835,0.403,0.393,1.819,3.578,3.541,2.821,3.853,3.955,3.87,1.82,0,0,42.767
7/26/2020,1.204,2.118,0.854,1.226,0.884,1.687,0.577,0.383,0.374,0.459,0.712,0.91,0.639,0.924,0.593,0.532,1.282,3.888,4.573,4.508,4.136,3.937,3.675,3.251,0,0,43.326
7/27/2020,1.723,0.371,0.392,0.372,0.38,0.372,0.399,3.132,3.267,3.377,0.829,3.022,3.793,3.623,2.301,2.926,0.704,2.793,3.727,3.675,1.546,3.666,2.754,0.859,16.369,17.125,16.509
7/28/2020,1.536,0.816,1.934,0.383,0.38,1.199,1.474,0.356,0.688,0.87,0.826,1.877,3.842,2.509,1.37,2.321,1.456,2.14,2.599,3.782,1.427,3.557,0.807,0.86,13.375,7.479,18.155
7/29/2020,0.679,2.545,0.813,0.361,0.359,0.357,0.337,0.33,0.575,0.704,0.772,1.552,3.403,3.709,2.549,0.6,1.397,2.91,1.63,3.841,1.804,3.723,3.345,0.747,13.21,6.921,18.911
7/30/2020,0.704,0.503,0.332,1.309,1.323,0.319,1.417,0.293,0.536,0.815,0.614,0.643,0.732,0.732,0.593,0.693,0.632,0.781,1.073,0.805,0.957,1.079,0.762,0.913,4.025,4.112,10.423
7/31/2020,0.641,0.373,0.355,0.375,0.368,0.37,0.344,0.344,0.515,0.708,0.649,0.574,0.805,0.886,3.294,3.425,3.495,3.607,3.56,3.698,4.248,2.632,1.27,1.299,12.479,9.383,15.973
8/1/2020,0.831,0.541,0.449,0.427,0.427,0.407,0.393,1.365,3.119,3.358,1.826,0.747,2.237,3.535,3.456,1.205,0.403,0.464,0.439,0.417,0.404,3.097,3.556,2.902,0,0,36.005
8/2/2020,0.833,1.011,1.775,0.399,2.148,0.618,2.108,0.338,0.362,0.848,1.017,0.852,1.073,1.085,0.733,1.832,3.381,3.569,0.851,0.354,0.352,0.402,0.425,0.929,0,0,27.295
8/3/2020,0.67,0.497,0.34,0.321,0.323,0.338,0.335,0.334,0.373,0.391,0.773,0.586,1.213,1.08,0.74,0.675,0.482,0.462,0.604,1.036,1.038,1.278,1.374,1.1,0,0,16.363
8/4/2020,0.926,0.766,0.588,0.491,0.482,0.458,0.435,0.445,0.45,0.799,0.602,0.608,0.857,1.125,0.71,0.686,2.396,2.524,1.144,0.996,2.844,2.683,1.015,1.075,6.382,5.964,12.759
8/5/2020,0.817,0.495,0.479,0.473,0.482,0.471,0.567,0.473,0.574,0.862,0.579,0.606,1.11,0.682,0.48,0.692,0.672,0.708,0.803,0.726,0.863,1.071,0.767,0.861,4.242,3.999,8.072
8/6/2020,0.651,0.425,0.383,0.381,0.386,0.509,0.376,0.379,0.597,0.605,0.529,0.621,1.373,0.917,0.648,0.541,0.495,0.552,0.972,0.831,0.784,0.823,0.964,0.921,4.595,3.634,7.434
8/7/2020,0.527,0.431,0.418,0.413,0.409,0.4,0.376,0.382,0.727,0.652,0.382,0.423,0.978,0.442,0.377,0.419,0.343,0.406,0.726,0.42,0.375,1.115,1.098,0.914,2.982,3.275,6.896
8/8/2020,0.649,0.506,0.39,0.392,0.374,0.37,0.362,0.374,0.392,0.878,0.845,0.789,0.687,0.999,0.794,0.848,0.713,0.614,0.842,1.074,1.13,1.083,1.305,1.222,0,0,17.632
8/9/2020,1.242,0.735,0.513,0.507,0.506,0.504,0.487,0.486,0.485,0.932,0.931,0.908,2.567,3.867,3.649,3.551,3.482,3.554,3.785,3.992,4.663,4.299,2.513,2.732,0,0,50.89
8/10/2020,1.88,1.799,1.278,1.291,1.26,1.456,1.142,0.516,0.77,0.845,0.646,2.505,3.753,3.731,3.561,1.491,0.736,0.734,3.557,3.867,3.782,4.16,2.662,3.225,15.777,7.068,27.802
8/11/2020,2.272,1.992,0.614,1.383,1.15,1.098,1.04,0.468,0.616,0.821,0.684,1.705,3.742,3.249,2.718,2.818,0.981,0.885,1.611,3.922,3.826,3.357,1.988,1.983,15.213,5.085,24.625
8/12/2020,1.507,0.523,0.503,0.48,0.46,0.473,0.481,0.489,0.636,0.628,0.668,0.729,1.486,1.364,1.012,0.914,0.74,0.823,1.056,1.326,1.239,1.163,3.149,3.673,6.245,4.3,14.977
8/13/2020,4.024,3.672,3.165,3.138,1.657,1.378,0.493,0.466,0.464,0.748,0.683,1.928,4.355,3.677,3.549,1.739,0.724,2.499,3.768,3.721,3.647,4.003,2.773,1.247,15.972,8.628,32.918
8/14/2020,2.09,0.507,1.12,0.463,1.359,1.152,0.955,0.72,0.515,0.659,0.608,0.707,2.917,3.559,0.837,0.698,0.744,1.242,2.805,3.546,3.303,2.696,1.002,0.63,9.462,6.549,18.823
8/15/2020,0.557,0.501,0.477,0.478,0.483,0.51,0.495,0.498,0.499,0.723,0.744,2.181,3.73,3.692,2.744,0.686,0.683,3.38,3.631,2.665,0.6,3.326,1.388,2.678,0,0,37.349
8/16/2020,1.062,1.99,1.1,1.431,0.554,0.567,1.457,0.54,0.555,1.03,0.948,0.835,0.799,1.016,2.493,2.991,0.571,0.749,1.002,2.881,3.215,2.379,1.208,2.554,0,0,33.927
8/17/2020,1.006,0.534,0.48,0.484,0.563,0.487,0.473,0.488,0.681,0.822,0.704,0.652,0.964,0.732,0.68,0.734,0.8,1.076,1.605,1.272,1.217,1.387,1.248,0.924,4.562,5.376,10.075
8/18/2020,0.775,0.481,0.451,0.443,0.428,0.423,0.421,0.432,0.613,0.716,0.615,0.612,0.875,0.638,0.606,0.855,0.898,0.746,0.946,1.249,1.148,1.175,0.739,0.687,4.484,4.068,8.42
8/19/2020,0.581,0.462,0.416,0.409,0.411,0.418,0.406,0.411,0.59,0.524,0.47,0.705,1.067,0.583,0.548,1.418,0.562,0.65,0.562,0.52,0.541,0.721,0.861,0.833,4.883,3.207,6.579
8/20/2020,0.821,0.541,0.405,0.39,0.394,0.4,0.392,0.413,0.389,0.728,0.645,0.503,1.113,1.334,0.797,0.582,0.594,0.589,0.852,0.778,0.834,0.919,0.851,0.834,4.923,3.616,7.559
8/21/2020,0.65,0.493,0.398,0.411,0.398,0.389,0.38,0.382,0.467,0.684,0.456,0.446,0.444,0.455,2.726,3.425,2.04,0.704,1.773,3.752,3.96,1.677,2.971,2.094,9.536,4.466,17.573
8/22/2020,1.177,1.95,1.362,0.488,1.362,1.292,1.11,0.467,0.576,0.762,0.841,1.421,4.122,1.232,0.755,0.763,0.806,1.628,4.256,4.392,4.117,2.505,2.908,3.19,0,0,43.482
8/23/2020,1.638,2.534,2.15,0.739,1.811,1.327,1.927,0.649,0.709,0.901,1.133,3.44,0.67,0.49,0.615,1.86,3.374,1.528,0.476,0.428,0.456,3.12,3.094,3.074,0,0,38.143
8/24/2020,1.677,0.34,0.343,0.337,0.339,0.337,0.328,0.339,0.338,0.342,0.342,0.337,0.338,0.333,0.337,0.338,0.338,0.333,0.337,0.652,3.26,3.208,3.166,3.189,2.021,2.031,17.176
8/25/2020,1.744,0.337,0.337,0.34,0.339,0.35,0.337,0.4,0.369,0.35,0.342,0.338,0.339,0.34,0.342,0.34,0.721,3.091,1.222,0.337,0.425,3.112,3.043,1.884,2.42,5.774,12.585
8/26/2020,0.368,0.343,0.34,0.347,0.34,0.339,0.339,0.341,0.341,0.357,0.339,0.33,0.329,0.329,0.332,0.343,0.875,0.886,1.393,1.084,1.117,1.294,1.172,0.814,2.538,3.657,7.897
8/27/2020,0.758,0.531,0.441,0.441,0.436,0.433,0.435,0.441,0.451,0.521,0.794,0.803,3.691,3.735,0.787,0.583,1.076,1.542,0.547,0.552,1.626,4.02,2.938,1.857,10.675,4.296,14.468
8/28/2020,0.646,0.531,0.482,0.468,0.462,0.469,0.457,0.468,0.467,0.653,2.161,2.813,0.666,1.03,2.508,3.716,3.081,1.004,1.234,1.223,1.107,1.161,1.134,0.883,13.814,5.987,9.023
8/29/2020,0.761,0.496,0.383,0.382,0.383,0.379,0.372,0.38,0.372,0.401,0.852,0.784,0.509,0.622,0.693,0.677,0.805,0.969,1.056,1.24,1.117,1.275,1.216,1.079,0,0,17.203
8/30/2020,0.911,0.703,0.474,0.388,0.387,0.386,0.386,0.392,0.392,0.474,0.939,0.655,0.553,0.999,1.544,0.969,0.738,0.71,0.935,1.286,0.973,1.031,1.237,0.9,0,0,18.362
8/31/2020,0.793,0.566,0.464,0.456,0.455,0.455,0.456,0.451,0.682,0.683,0.835,0.637,0.723,0.549,0.641,0.662,0.55,0.685,0.959,0.73,0.988,0.998,1.028,1.115,3.762,4.295,8.504
9/1/2020,0.77,0.544,0.537,0.501,0.497,0.496,0.494,0.493,0.515,0.556,0.818,0.643,0.908,0.868,0.705,0.72,0.709,0.682,0.64,0.634,0.695,1.349,3.878,3.739,4.553,3.704,14.134
9/2/2020,1.968,0.55,0.509,1.168,0.73,0.936,0.501,0.503,0.662,0.534,0.72,0.665,1.033,4.002,3.661,0.757,3.038,3.206,0.887,1.044,2.794,3.769,2.427,1.172,13.156,6.512,17.568
9/3/2020,0.779,0.536,0.487,0.478,0.476,0.475,0.474,0.471,0.512,0.699,0.763,0.725,1.431,2.139,3.423,1.153,0.559,0.546,1.742,3.93,3.711,1.341,1.185,2.032,9.43,4.733,15.904
9/4/2020,1.71,0.62,0.505,0.5,0.505,0.508,0.5,0.505,0.51,0.576,0.874,0.549,0.656,0.689,0.523,0.524,0.538,0.896,1.54,0.986,1.011,1.039,1.036,1.092,3.479,4.901,10.012
9/5/2020,0.827,0.59,0.436,0.424,0.416,0.594,0.444,0.472,0.441,0.392,0.383,0.364,0.362,0.37,0.38,0.379,0.38,0.383,0.381,0.367,0.496,0.494,0.506,0.5,0,0,10.781
9/6/2020,0.448,0.406,0.382,0.371,0.367,0.369,0.382,0.382,0.392,0.389,0.389,0.384,0.907,0.704,0.469,0.491,0.502,0.379,0.363,0.365,0.492,0.503,0.504,0.498,0,0,10.838
9/7/2020,0.422,0.378,0.367,0.367,0.374,0.38,0.381,0.379,0.382,0.374,0.363,0.378,0.381,0.38,0.379,0.379,0.376,0.364,0.492,0.386,0.493,0.823,1.011,0.728,0,0,10.737
9/8/2020,0.529,0.457,0.442,0.431,0.419,0.419,0.439,0.418,0.567,0.504,0.486,0.647,0.743,0.82,0.918,0.617,0.809,1.666,1.295,1.45,0.975,1.081,0.859,0.633,4.554,4.936,8.134
9/9/2020,0.751,0.665,0.466,0.41,0.408,0.388,0.381,0.388,0.485,0.648,1.403,1.112,1.06,1.187,0.813,0.659,0.603,0.727,0.77,1.193,1.066,1.25,1.026,0.922,5.434,4.421,8.926
9/10/2020,0.723,0.734,0.392,0.369,0.364,0.416,0.45,0.372,0.508,0.464,0.585,0.582,0.743,0.855,0.592,0.556,0.509,0.65,1.338,1.327,1.002,1.054,1.094,0.792,3.837,3.917,8.717
9/11/2020,0.81,0.682,0.461,0.386,0.386,0.381,0.388,0.381,0.527,0.448,0.648,0.697,0.504,0.673,1.05,0.963,0.657,0.556,0.793,1.039,0.905,1.196,0.977,0.658,4.544,3.353,8.269
9/12/2020,0.617,0.587,0.558,0.525,0.409,0.409,0.413,0.408,0.439,0.803,0.623,0.599,0.591,0.76,0.824,0.773,0.626,0.559,0.43,0.656,0.654,1.029,0.926,0.83,0,0,15.048
9/13/2020,0.865,0.962,0.9,0.586,0.526,0.53,0.533,0.532,0.527,0.643,1.048,0.907,1.175,0.632,0.525,0.578,0.788,0.844,1.494,1.294,1.273,1.048,1.166,1.012,0,0,20.388
9/14/2020,0.755,0.492,0.436,0.451,0.451,0.485,0.643,0.675,0.702,0.52,0.601,0.498,0.684,0.977,0.977,0.552,0.812,0.587,1.233,1.054,1.084,0.967,0.744,0.879,4.5,4.318,8.441
9/15/2020,0.833,0.433,0.383,0.373,0.38,0.367,0.366,0.773,0.701,0.456,0.511,0.508,0.576,0.399,0.405,0.533,0.512,0.961,1.285,0.845,0.931,0.738,0.633,1.01,2.933,4.687,7.292
9/16/2020,0.696,0.42,0.392,0.387,0.387,0.387,0.384,0.847,0.59,0.507,0.507,0.416,0.386,0.384,0.415,0.431,0.648,0.72,1.213,1.696,1.018,1.04,0.696,0.594,2.68,4.384,8.097
9/17/2020,0.497,0.434,0.429,0.416,0.41,0.407,0.404,0.631,0.736,0.518,0.636,0.579,0.542,0.482,0.437,0.511,0.492,0.478,0.823,0.899,0.885,0.797,0.857,0.81,3.043,3.822,7.245
9/18/2020,0.486,0.4,0.403,0.424,0.448,0.502,0.636,0.902,0.779,1.611,0.762,0.809,0.472,0.605,0.435,0.477,0.465,0.601,0.655,0.876,0.918,0.792,0.784,0.505,3.263,5.31,7.174
9/19/2020,0.467,0.459,0.39,0.369,0.37,0.576,0.401,0.388,0.749,1.033,0.854,1.145,0.823,0.443,0.54,0.457,0.481,0.628,1.349,1.636,1.033,1.456,1.181,0.941,0,0,18.169
9/20/2020,0.512,0.443,0.401,0.39,0.35,0.356,0.366,0.365,0.835,0.993,0.96,0.88,1.103,0.645,0.641,0.563,0.7,0.528,0.789,1.29,1.062,1.064,0.946,1.131,0,0,17.313
9/21/2020,0.552,0.405,0.397,0.388,0.377,0.597,0.425,0.539,1.19,0.585,0.584,0.723,0.625,0.376,0.461,0.458,0.823,1.121,1.548,0.937,1.015,1.038,0.765,0.711,3.466,5.567,7.607
9/22/2020,0.568,0.438,0.426,0.428,0.429,0.641,0.46,0.583,1.17,0.768,0.829,1.033,1.088,0.95,0.906,0.893,0.617,0.823,0.652,1.913,1.375,1.009,0.835,0.917,5.487,4.825,9.439
9/23/2020,0.779,0.671,0.492,0.456,0.449,0.448,0.456,0.865,1.159,0.799,0.62,0.599,0.725,1.08,1.234,0.772,0.676,0.769,1.102,1.017,1.085,1.092,1.163,0.878,5.086,5.314,8.986
9/24/2020,0.605,0.408,0.416,0.4,0.395,0.39,0.399,0.66,0.859,0.526,0.486,0.659,0.68,0.483,0.472,0.53,0.838,0.847,1.772,1.066,0.986,1.194,0.937,0.881,3.662,5.15,8.077
9/25/2020,0.608,0.473,0.386,0.386,0.382,0.383,0.38,0.567,1.106,0.563,0.488,0.479,0.667,0.536,0.523,0.49,0.489,0.629,0.614,1.641,1.044,1.08,1.247,0.929,3.184,3.967,8.939
9/26/2020,0.538,0.486,0.461,0.45,0.455,0.66,0.462,0.452,0.52,0.949,0.911,0.79,1.028,0.993,0.87,0.772,0.528,0.819,0.513,0.435,0.461,0.451,0.493,0.927,0,0,15.424
9/27/2020,0.639,0.416,0.39,0.387,0.406,0.388,0.381,0.38,0.414,0.612,0.792,0.73,0.713,0.812,0.736,0.531,0.58,0.56,1.181,1.024,1.04,1.282,0.996,0.833,0,0,16.223
9/28/2020,0.518,0.464,0.48,0.48,0.463,0.744,0.46,0.544,0.691,0.511,0.497,0.477,0.613,0.437,0.448,0.506,0.478,1.001,1.567,1.299,0.896,0.888,1.011,0.77,2.959,4.811,8.473
9/29/2020,0.518,0.388,0.387,0.392,0.392,0.555,0.513,0.592,0.619,0.539,0.627,0.524,0.483,0.45,0.458,0.526,0.813,0.614,0.605,1.519,0.965,1.032,1.53,0.671,3.254,3.596,8.862
9/30/2020,0.473,0.412,0.413,0.415,0.413,0.415,0.409,0.631,0.619,0.717,0.478,0.486,0.795,0.539,0.679,0.579,0.771,0.925,1.161,1.17,0.961,1.077,0.63,0.633,3.849,4.531,7.421
10/1/2020,0.494,0.447,0.422,0.404,0.391,0.375,0.387,0.689,0.993,0.529,0.495,0.491,0.594,0.514,0.524,0.618,0.695,0.548,1.399,1.226,0.958,1.791,0.708,0.518,3.436,4.653,8.121
10/2/2020,0.468,0.417,0.41,0.417,0.423,0.421,0.426,0.623,1.015,0.833,0.68,0.595,0.576,0.755,0.463,0.497,0.554,0.379,0.771,1.45,0.884,0.968,0.803,0.952,3.44,4.301,8.039
10/3/2020,0.585,0.414,0.39,0.385,0.382,0.409,0.372,0.363,0.383,0.807,0.876,0.826,0.786,1.138,0.81,0.614,0.464,0.988,0.542,0.614,0.812,1.081,1.121,0.872,0,0,16.034
10/4/2020,0.465,0.41,0.396,0.396,0.392,0.391,0.409,0.48,0.52,0.702,0.873,0.733,0.754,0.583,0.508,0.91,0.914,0.731,1.042,1.045,1.281,1.571,1.069,1.135,0,0,17.71
10/5/2020,0.544,0.447,0.372,0.363,0.371,0.733,0.476,0.639,0.925,0.573,0.498,0.509,0.476,0.564,0.887,0.992,0.732,0.857,1.387,1.221,0.954,0.996,0.656,0.883,4.16,4.879,8.016
10/6/2020,0.579,0.436,0.4,0.388,0.443,0.907,0.473,0.48,0.765,0.577,0.517,0.764,0.688,0.528,0.6,0.861,1.044,0.831,0.854,1.153,0.957,1.047,0.828,0.785,4.485,4.024,8.396
10/7/2020,0.635,0.477,0.406,0.407,0.397,0.406,0.405,0.903,0.834,0.648,0.526,0.623,0.667,0.631,0.553,0.705,0.625,0.806,1.947,1.163,0.981,1.816,0.736,0.662,3.804,5.664,8.491
10/8/2020,0.463,0.383,0.38,0.356,0.35,0.372,0.382,0.728,0.987,0.601,0.511,0.49,0.454,0.502,0.548,0.561,0.562,0.909,1.22,1.095,1.047,1.237,0.84,0.879,3.117,4.956,7.784
10/9/2020,0.849,0.55,0.361,0.364,0.392,0.386,0.451,0.878,0.719,0.506,0.623,0.61,0.684,0.624,0.486,0.805,0.525,0.364,0.504,0.908,0.9,1.064,0.951,0.736,3.734,3.594,7.912
10/10/2020,0.519,0.445,0.368,0.371,0.374,0.401,0.355,0.472,0.685,0.642,0.609,0.521,0.371,0.36,0.354,0.359,0.361,0.368,0.37,0.908,1.156,0.952,0.912,0.567,0,0,12.8
10/11/2020,0.455,0.409,0.392,0.39,0.388,0.38,0.374,0.37,0.719,0.777,1.01,0.709,0.593,0.737,0.755,0.481,0.463,0.856,1.119,1.242,1.476,1.819,1.066,1.032,0,0,18.012
10/12/2020,0.779,0.714,0.444,0.391,0.376,0.39,0.447,0.546,0.382,0.421,0.831,0.729,0.813,0.962,0.694,0.531,0.791,0.782,1.332,1.407,1.166,1.58,1.003,0.896,0,0,18.407
10/13/2020,0.652,0.394,0.375,0.39,0.389,0.723,0.367,0.383,0.616,0.851,1.096,0.891,1.01,0.683,0.58,0.57,0.501,0.533,0.749,1.176,1.192,1.002,0.659,0.61,4.235,4.228,7.929
